;Rank;Rider;Team;Times;Gap;B;P;Stages;Ranking type;Points;Checkpoint;Year;Distance (km);Number of stages;ResultType;TotalSeconds;GapSeconds
457791;157;SAM WELSFORD;TEAM DSM - FIRMENICH;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457792;158;MADS PEDERSEN;LIDL - TREK;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457793;159;JASPER DE BUYST;LOTTO DSTNY;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457794;16;ALEX ARANBURU DEVA;MOVISTAR TEAM;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457795;160;NANS PETERS;AG2R CITROEN TEAM;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457796;161;PASCAL EENKHOORN;LOTTO DSTNY;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457797;162;LAURENT PICHON;TEAM ARKEA - SAMSIC;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457798;163;OLIVIER LE GAC;GROUPAMA - FDJ;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457799;164;GREGAARD JONAS WILSLY;UNO-X PRO CYCLING TEAM;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457800;165;ALEXANDER KRISTOFF;UNO-X PRO CYCLING TEAM;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457801;166;LUCA MOZZATO;TEAM ARKEA - SAMSIC;04h 40' 15'';+ 00h 17' 26'';;;1;Individual (Stage);;;2023;3404;21;time;16815;1046
457802;167;VALENTIN FERRON;TOTALENERGIES;04h 43' 40'';+ 00h 20' 51'';;;1;Individual (Stage);;;2023;3404;21;time;17020;1251
457803;168;ALEXIS RENARD;COFIDIS;04h 43' 40'';+ 00h 20' 51'';;;1;Individual (Stage);;;2023;3404;21;time;17020;1251
457804;169;GIANNI MOSCON;ASTANA QAZAQSTAN TEAM;04h 44' 11'';+ 00h 21' 22'';;;1;Individual (Stage);;;2023;3404;21;time;17051;1282
457805;17;MAXIM VAN GILS;LOTTO DSTNY;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457806;170;MARK CAVENDISH;ASTANA QAZAQSTAN TEAM;04h 44' 11'';+ 00h 21' 22'';;;1;Individual (Stage);;;2023;3404;21;time;17051;1282
457807;171;JORDI MEEUS;BORA - HANSGROHE;04h 44' 11'';+ 00h 21' 22'';;;1;Individual (Stage);;;2023;3404;21;time;17051;1282
457808;172;CEES BOL;ASTANA QAZAQSTAN TEAM;04h 44' 11'';+ 00h 21' 22'';;;1;Individual (Stage);;;2023;3404;21;time;17051;1282
457809;173;PHIL BAUHAUS;BAHRAIN VICTORIOUS;04h 44' 11'';+ 00h 21' 22'';;;1;Individual (Stage);;;2023;3404;21;time;17051;1282
457810;174;YEVGENIY FEDOROV;ASTANA QAZAQSTAN TEAM;04h 44' 11'';+ 00h 21' 22'';;;1;Individual (Stage);;;2023;3404;21;time;17051;1282
457811;175;JACOPO GUARNIERI;LOTTO DSTNY;04h 44' 11'';+ 00h 21' 22'';;;1;Individual (Stage);;;2023;3404;21;time;17051;1282
457812;18;DYLAN TEUNS;ISRAEL - PREMIER TECH;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457813;19;STEFF CRAS;TOTALENERGIES;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457814;2;SIMON YATES;TEAM JAYCO ALULA;04h 22' 53'';+ 00h 00' 04'';06';;1;Individual (Stage);;;2023;3404;21;time;15773;4
457815;20;VALENTIN MADOUAS;GROUPAMA - FDJ;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457816;21;LOUIS MEINTJES;INTERMARCHÉ - CIRCUS - WANTY;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457817;22;ROMAIN BARDET;TEAM DSM - FIRMENICH;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457818;23;EGAN BERNAL GOMEZ;INEOS GRENADIERS;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457819;24;EMANUEL BUCHMANN;BORA - HANSGROHE;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457820;25;JULIAN ALAPHILIPPE;SOUDAL QUICK-STEP;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457821;26;HAROLD TEJADA CANACUE;ASTANA QAZAQSTAN TEAM;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457822;27;GUILLAUME MARTIN GUYONNET;COFIDIS;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457823;28;MATTHEW DINHAM;TEAM DSM - FIRMENICH;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457824;29;TOM PIDCOCK;INEOS GRENADIERS;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457825;3;TADEJ POGAČAR;UAE TEAM EMIRATES;04h 23' 01'';+ 00h 00' 12'';04';;1;Individual (Stage);;;2023;3404;21;time;15781;12
457826;30;TOBIAS HALLAND JOHANNESSEN;UNO-X PRO CYCLING TEAM;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457827;31;SEPP KUSS;JUMBO-VISMA;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457828;32;JACK HAIG;BAHRAIN VICTORIOUS;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457829;33;BEN O'CONNOR;AG2R CITROEN TEAM;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457830;34;CHRIS HARPER;TEAM JAYCO ALULA;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457831;35;GIULIO CICCONE;LIDL - TREK;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457832;36;FELIX GALL;AG2R CITROEN TEAM;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457833;37;MATHIEU VAN DER POEL;ALPECIN-DECEUNINCK;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457834;38;LUIS LEON SANCHEZ;ASTANA QAZAQSTAN TEAM;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457835;39;CLÉMENT BERTHET;AG2R CITROEN TEAM;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457836;4;THIBAUT PINOT;GROUPAMA - FDJ;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457837;40;PELLO BILBAO LOPEZ DE ARMENTIA;BAHRAIN VICTORIOUS;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457838;41;RAFAL MAJKA;UAE TEAM EMIRATES;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
